Insurance Plan Identifier,Insurance Plan Variant Component Type Name,SBC Coverage Name,SBC Coverage Deductible Amount,SBC Coverage Copayment Amount,SBC Coverage Coinsurance Amount,SBC Coverage Limit Amount
33602TX0870198,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870177,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870198,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870177,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870198,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870178,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870199,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870178,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870199,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870178,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870199,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870178,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870178,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870200,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870178,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870200,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870179,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870200,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870179,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870201,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870179,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870201,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870179,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870201,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870179,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870202,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870179,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870202,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870180,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870202,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870180,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870180,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870203,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870180,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870203,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870180,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870203,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870180,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870181,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870204,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870181,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870181,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870204,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870181,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870204,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870181,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870205,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870181,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870205,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870182,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870205,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870182,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870206,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870182,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870206,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870182,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870182,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870206,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870182,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870207,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870183,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870207,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870183,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870207,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870183,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870208,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870183,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870183,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870208,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870183,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870208,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870184,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870209,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870184,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870209,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870184,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870184,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870209,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870184,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870210,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870184,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870210,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870185,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870210,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870185,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870211,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870185,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870211,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870185,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870211,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870185,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870185,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870212,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870186,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870212,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870186,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870212,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870186,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870213,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870186,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870213,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870186,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870213,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870186,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870214,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870187,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870187,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870214,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870187,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870214,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870187,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870215,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870187,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870187,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870215,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870188,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870188,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870215,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870188,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870216,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870188,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870216,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870188,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870216,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870188,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870217,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870189,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870217,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870189,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870217,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870189,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870218,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870189,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870218,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870189,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870189,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0870218,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870190,Non-Exchange variant,Maternity,1500.00,900.00,4800.00,60.00
33602TX0870219,Non-Exchange variant,Maternity,2000.00,900.00,4700.00,60.00
33602TX0870190,Non-Exchange variant,Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870219,Non-Exchange variant,Treatment of a simple fracture,2000.00,400.00,200.00,0.00
33602TX0870190,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870190,Exchange variant (no CSR),Maternity,1500.00,900.00,4800.00,60.00
33602TX0870219,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0870190,Exchange variant (no CSR),Treatment of a simple fracture,1500.00,400.00,400.00,0.00
33602TX0870220,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870220,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870223,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870220,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870224,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870224,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870220,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870224,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870220,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870224,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870220,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870224,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870221,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870224,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870221,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870225,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870221,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870225,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870221,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870225,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870225,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870221,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870225,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870221,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870225,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870222,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870226,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870222,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870226,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870222,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870226,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870222,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870226,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870222,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870226,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870222,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870226,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870223,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870227,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870223,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870227,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870227,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870223,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870227,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870227,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870223,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870227,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870223,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870228,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870243,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870228,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870228,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870244,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870228,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870244,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870228,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870244,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870228,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870244,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870229,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870244,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870229,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870229,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870244,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870229,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870245,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870229,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870245,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870229,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870245,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870230,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870230,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870245,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870230,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870245,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870230,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870245,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870230,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870246,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870230,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870246,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870231,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870231,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870246,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870231,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870246,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870231,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870246,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870231,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870246,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870231,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870247,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870232,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870247,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870232,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870247,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870232,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870247,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870232,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870247,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870232,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870247,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870232,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870248,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870233,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870248,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870233,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870248,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870233,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870248,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870233,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870233,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870248,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870233,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870248,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870234,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870249,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870234,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870234,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870249,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870234,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870249,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870234,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870249,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870234,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870235,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870249,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870235,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870249,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870235,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870250,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870235,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870250,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870235,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870250,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870235,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870250,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870236,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870250,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870236,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870250,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870236,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870236,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870251,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870236,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870251,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870236,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870251,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870237,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870237,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870251,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870237,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870251,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870237,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870251,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870237,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870252,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870237,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870252,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870238,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870252,Non-Exchange variant,Diabetes,900.00,900.00,0.00,20.00
33602TX0870238,Non-Exchange variant,Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870252,Exchange variant (no CSR),Maternity,5900.00,50.00,2700.00,60.00
33602TX0870238,Non-Exchange variant,Diabetes,0.00,1600.00,400.00,20.00
33602TX0870252,Exchange variant (no CSR),Treatment of a simple fracture,2100.00,400.00,0.00,0.00
33602TX0870238,Exchange variant (no CSR),Maternity,0.00,1400.00,2100.00,60.00
33602TX0870252,Exchange variant (no CSR),Diabetes,900.00,900.00,0.00,20.00
33602TX0870238,Exchange variant (no CSR),Treatment of a simple fracture,0.00,700.00,1000.00,0.00
33602TX0870253,Non-Exchange variant,Maternity,5900.00,50.00,2700.00,60.00
33602TX0870238,Exchange variant (no CSR),Diabetes,0.00,1600.00,400.00,20.00
33602TX0870239,Non-Exchange variant,Maternity,0.00,1400.00,2100.00,60.00
33602TX0870253,Non-Exchange variant,Treatment of a simple fracture,2100.00,400.00,0.00,0.00
