HIOS Plan ID,Level of Coverage,CSR Variation Type,Issuer Actuarial Value,AV Calculator Output Number,Medical and Drug Deductibles Integrated ,Medical and Drug Maximum Out Of Pocket Integrated ,Multiple In Network Tiers ,1st Tier Utilization,2nd Tier Utilization, Plan Brochure,URL for Summary of Benefits and Coverage,HSA Eligible,HSA\HRA Employer Contribution,HSA\HRA Employer Contribution Amount,Maximum Coinsurance for Specialty Drugs,Maximum Number of Days for Charging an Inpatient Copay,Begin Primary Care Cost Sharing After a Set Number of Visits,Begin Primary Care Deductible\ Coinsurance After a Set Number of Copays,Plan Variant Marketing Name
58840TX0120077,Gold,Non-Exchange variant,78.02,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768582_58840TX0120077-00_SBC.pdf,No,No,,,,,,Gold 3: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120078,Gold,Non-Exchange variant,78.02,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768171_58840TX0120078-00_SBC.pdf,No,No,,,,,,Gold 3: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0110075,Gold,Exchange variant (no CSR),78.02,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768038_58840TX0110075-00_SBC.pdf,No,No,,,,,,Gold 3: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110075,Gold,Non-Exchange variant,78.02,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768038_58840TX0110075-00_SBC.pdf,No,No,,,,,,Gold 3: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110087,Gold,Exchange variant (no CSR),80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768250_58840TX0110087-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110087,Gold,Non-Exchange variant,80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768250_58840TX0110087-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110109,Silver,Non-Exchange variant,70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768268_58840TX0110109-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110109,Silver,Exchange variant (no CSR),70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768268_58840TX0110109-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0120082,Gold,Non-Exchange variant,78.02,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768650_58840TX0120082-00_SBC.pdf,No,No,,,,,,Gold 3: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0110119,Silver,Exchange variant (no CSR),70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768760_58840TX0110119-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110119,Silver,Non-Exchange variant,70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768760_58840TX0110119-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110127,Silver,Exchange variant (no CSR),70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768405_58840TX0110127-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110127,Silver,Non-Exchange variant,70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768405_58840TX0110127-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110131,Silver,Exchange variant (no CSR),70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768061_58840TX0110131-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110131,Silver,Non-Exchange variant,70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768061_58840TX0110131-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110132,Silver,Exchange variant (no CSR),70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768495_58840TX0110132-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110132,Silver,Non-Exchange variant,70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768495_58840TX0110132-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110135,Silver,Exchange variant (no CSR),70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768625_58840TX0110135-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110135,Silver,Non-Exchange variant,70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768625_58840TX0110135-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110136,Silver,Exchange variant (no CSR),70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768284_58840TX0110136-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110136,Silver,Non-Exchange variant,70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768284_58840TX0110136-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0120143,Silver,Non-Exchange variant,70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768154_58840TX0120143-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120146,Silver,Non-Exchange variant,70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768285_58840TX0120146-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120086,Gold,Non-Exchange variant,80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768246_58840TX0120086-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options + Ped Dental
58840TX0120087,Gold,Non-Exchange variant,80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768251_58840TX0120087-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options + Ped Dental
58840TX0120088,Gold,Non-Exchange variant,80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768231_58840TX0120088-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options + Ped Dental
58840TX0120089,Gold,Non-Exchange variant,80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768236_58840TX0120089-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options + Ped Dental
58840TX0120093,Gold,Non-Exchange variant,80.90,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768336_58840TX0120093-00_SBC.pdf,No,No,,,,,,Gold 4: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options + Ped Dental
58840TX0120101,Silver,Non-Exchange variant,70.83,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768197_58840TX0120101-00_SBC.pdf,No,No,,,,,,Silver 1: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120102,Silver,Non-Exchange variant,70.83,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768199_58840TX0120102-00_SBC.pdf,No,No,,,,,,Silver 1: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120106,Silver,Non-Exchange variant,71.77,,No,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768299_58840TX0120106-00_SBC.pdf,No,No,,,,,,Silver 2: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120112,Silver,Non-Exchange variant,71.77,,No,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768518_58840TX0120112-00_SBC.pdf,No,No,,,,,,Silver 2: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120118,Silver,Non-Exchange variant,70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768610_58840TX0120118-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120120,Silver,Non-Exchange variant,70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768269_58840TX0120120-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120122,Silver,Non-Exchange variant,70.01,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768398_58840TX0120122-00_SBC.pdf,No,No,,,,,,Silver 5: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0120142,Silver,Non-Exchange variant,70.07,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768496_58840TX0120142-00_SBC.pdf,No,No,,,,,,Silver 6: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
58840TX0110133,Silver,Exchange variant (no CSR),70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768153_58840TX0110133-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0110133,Silver,Non-Exchange variant,70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768153_58840TX0110133-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors & hospitals + $0 walk-in clinic + $0 Virtual Care options 24/7
58840TX0120150,Silver,Non-Exchange variant,70.04,,Yes,Yes,No,100%,,https://www.aetnacvshealth.com/documents/2024-value-tx.html,https://www.aetnacvshealth.com/documents/2024-IFP-768095_58840TX0120150-00_SBC.pdf,No,No,,,,,,Silver 7: Aetna network of doctors + $0 walk-in clinic + $0 Virtual Care options 24/7 + Ped Dental
33602TX0870135,Gold,Exchange variant (no CSR),,81.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 203
33602TX0870135,Gold,Non-Exchange variant,,81.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 203
33602TX0471101,Silver,Non-Exchange variant,,70.93,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsa02bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 935
98809TX0600153,Silver,Non-Exchange variant,70.40,,No,Yes,Yes,40.9%,59.1%,N/A,http://www.uhc.com/small-business,No,No,,,,,,UHC Choice Silver 6000-2
40788TX0460001,Gold,Exchange variant (no CSR),,78.02,Yes,Yes,No,100%,,https://www.bswhealthplan.com/SiteCollectionDocuments/Individual/Marketplace/2024/BSWHP-MemberGuide-MktPlc.pdf,https://www.bswhealthplan.com/SiteCollectionDocuments/PlanDocs/2024/SBC/SWHP_2024_GHIW4D01_SBC.pdf,No,No,,,,,,BSW Elite Gold HMO 001 (CMS Standardized Plan with $0 Pediatric PCP copay)
40788TX0460001,Gold,Non-Exchange variant,,78.02,Yes,Yes,No,100%,,https://www.bswhealthplan.com/SiteCollectionDocuments/Individual/Marketplace/2024/BSWHP-MemberGuide-MktPlc.pdf,https://www.bswhealthplan.com/SiteCollectionDocuments/PlanDocs/2024/SBC/SWHP_2024_GHIW4D01_SBC.pdf,No,No,,,,,,BSW Elite Gold HMO 001 (CMS Standardized Plan with $0 Pediatric PCP copay)
40788TX0370010,Gold,Non-Exchange variant,,80.34,Yes,Yes,No,100%,,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,No,No,,,,,,Gold HMO 100 2300
33602TX0870067,Bronze,Exchange variant (no CSR),,60.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh43bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 305
33602TX0870067,Bronze,Non-Exchange variant,,60.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh43bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 305
33602TX0470962,Bronze,Non-Exchange variant,,61.84,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-bhsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMOSM 833
33602TX0870102,Expanded Bronze,Exchange variant (no CSR),,64.39,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosa91bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 707
33602TX0870102,Expanded Bronze,Non-Exchange variant,,64.39,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosa91bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 707
66252TX0040006,Silver,Exchange variant (no CSR),,70.95,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Silver_HD.pdf,No,No,,,,2,,CHRISTUS Silver HD
66252TX0040006,Silver,Non-Exchange variant,,70.95,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Silver_HD.pdf,No,No,,,,2,,CHRISTUS Silver HD
66252TX0130003,Gold,Exchange variant (no CSR),,81.91,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Gold_Plus.pdf,No,No,,,,2,,CHRISTUS Gold Plus
66252TX0130003,Gold,Non-Exchange variant,,81.91,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Gold_Plus.pdf,No,No,,,,2,,CHRISTUS Gold Plus
66252TX0300010,Expanded Bronze,Exchange variant (no CSR),,64.39,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Standard_Expanded_Bronze.pdf,No,No,,,,,,CHRISTUS Standard Expanded Bronze
66252TX0300010,Expanded Bronze,Non-Exchange variant,,64.39,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Standard_Expanded_Bronze.pdf,No,No,,,,,,CHRISTUS Standard Expanded Bronze
33602TX0470965,Bronze,Non-Exchange variant,,61.84,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-bhsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMOSM 833
66252TX0030002,Expanded Bronze,Exchange variant (no CSR),,64.50,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Bronze.pdf,No,No,,,,2,,CHRISTUS Bronze
66252TX0030002,Expanded Bronze,Non-Exchange variant,,64.50,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Bronze.pdf,No,No,,,,2,,CHRISTUS Bronze
33602TX0460556,Gold,Exchange variant (no CSR),,79.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 206
33602TX0460556,Gold,Non-Exchange variant,,79.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 206
33602TX0430072,Gold,Non-Exchange variant,,78.15,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-gpsl07bcastxo-tx-2024.pdf,No,No,,,,,,Blue Choice Gold PPOSM 204
33602TX0470691,Gold,Non-Exchange variant,,81.22,Yes,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg12bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 812
33602TX0470758,Gold,Non-Exchange variant,,80.54,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg15bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 817
33602TX0470778,Gold,Non-Exchange variant,,79.86,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg16bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 822
33602TX0470797,Gold,Non-Exchange variant,,80.10,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg10bavstxo-tx-2024.pdf,Yes,Yes,300.0000,,,,,Blue Advantage Gold HMOSM 830
33602TX0470850,Silver,Non-Exchange variant,,71.21,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg12bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 804
33602TX0470869,Silver,Non-Exchange variant,,70.95,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg13bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 818
33602TX0470964,Bronze,Non-Exchange variant,,61.84,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-bhsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMOSM 833
33602TX0470889,Silver,Non-Exchange variant,,70.95,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg13bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 818
33602TX0470894,Silver,Non-Exchange variant,,70.86,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 820
33602TX0470898,Silver,Non-Exchange variant,,70.86,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 820
33602TX0470911,Silver,Non-Exchange variant,,70.86,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 820
33602TX0470916,Silver,Non-Exchange variant,,70.86,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 820
33602TX0470926,Expanded Bronze,Non-Exchange variant,,64.83,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-bhsg11bavstxo-tx-2024.pdf,Yes,Yes,0.0000,,,,,Blue Advantage Bronze HMOSM 806
33602TX0460674,Catastrophic,Exchange variant (no CSR),,,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-chsh30bavitxo-tx-2024.pdf,No,No,,,,,3,Blue Advantage Security HMO 200
33602TX0460674,Catastrophic,Non-Exchange variant,,,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-chsh30bavitxo-tx-2024.pdf,No,No,,,,,3,Blue Advantage Security HMO 200
33602TX0460696,Silver,Exchange variant (no CSR),,70.45,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 205
33602TX0460696,Silver,Non-Exchange variant,,70.45,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 205
33602TX0460698,Silver,Exchange variant (no CSR),,70.45,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 205
33602TX0460698,Silver,Non-Exchange variant,,70.45,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 205
33602TX0460699,Silver,Exchange variant (no CSR),,70.45,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 205
33602TX0460699,Silver,Non-Exchange variant,,70.45,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 205
33602TX0460706,Expanded Bronze,Exchange variant (no CSR),,64.57,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 204
33602TX0460706,Expanded Bronze,Non-Exchange variant,,64.57,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 204
33602TX0460708,Expanded Bronze,Exchange variant (no CSR),,64.57,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 204
33602TX0460708,Expanded Bronze,Non-Exchange variant,,64.57,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 204
